Benchmark,Algorithm,Mean,Std,Best,Worst,Median
CEC22_F1,NWOA,5.216752e+03,2.213919e+03,8.339758e+02,9.893075e+03,5.034681e+03
CEC22_F1,NWOA-HC_Full,3.000001e+02,8.616845e-05,3.000000e+02,3.000004e+02,3.000001e+02
CEC22_F1,NWOA-HC_Freq50,3.000002e+02,1.491428e-04,3.000000e+02,3.000006e+02,3.000002e+02
CEC22_F1,NWOA-HC_Cand1,3.000002e+02,8.773287e-05,3.000000e+02,3.000004e+02,3.000001e+02
CEC22_F5,NWOA,9.020487e+02,1.532778e+00,9.001876e+02,9.065532e+02,9.016389e+02
CEC22_F5,NWOA-HC_Full,9.003669e+02,6.046022e-01,9.000000e+02,9.024507e+02,9.001343e+02
CEC22_F5,NWOA-HC_Freq50,9.003231e+02,6.712141e-01,9.000000e+02,9.028179e+02,9.000000e+02
CEC22_F5,NWOA-HC_Cand1,9.003538e+02,6.579487e-01,9.000000e+02,9.030908e+02,9.000448e+02
CEC22_F9,NWOA,2.819427e+03,1.603856e+02,2.469187e+03,3.235821e+03,2.802733e+03
CEC22_F9,NWOA-HC_Full,2.505401e+03,2.019486e+02,2.300003e+03,3.009254e+03,2.659094e+03
CEC22_F9,NWOA-HC_Freq50,2.438764e+03,1.833042e+02,2.300005e+03,2.745605e+03,2.300176e+03
CEC22_F9,NWOA-HC_Cand1,2.472710e+03,1.851687e+02,2.300009e+03,2.745605e+03,2.300145e+03
